"matchid","platform","mapname","gamemode","max_roundnumber","count_rows","team0_role_firstround","team1_role_firstround","team0_user_attributes_firstround","team1_user_attributes_firstround","team0_user_attributes_lastround","team1_user_attributes_lastround","team0_changed","team0_deltasize","team0_startsize","team1_changed","team1_deltasize","team1_startsize","max_count_rows","team0_role_count_round_won","team1_role_count_round_won","team0_meanlevel","team0_stdlevel","team0_skillranks","team1_meanlevel","team1_stdlevel","team1_skillranks","deltateam_meanlevel","deltateam_stdlevel","deltateam_skillranks_ed","abs_deltateam_meanlevel","abs_deltateam_stdlevel","teamreference_won","date","weekdate","patch","dateid"
"3546856669","PS4","KANAL","PvP � SECURE AREA","8","80","Attacker","Defender","[[Gold, 104], [Copper, 32], [Silver, 117], [Silver, 70], [Copper, 49]]","[[Bronze, 32], [Bronze, 132], [Bronze, 104], [Bronze, 66], [Bronze, 71]]","[[Silver, 70], [Silver, 117], [Gold, 104], [Copper, 32], [Copper, 49]]","[[Bronze, 71], [Bronze, 32], [Bronze, 132], [Bronze, 104], [Bronze, 66]]","0","0","5","0","0","5","5","5","3","74.4","32.10358","[0, 2, 0, 2, 1, 0, 0]","81.0","34.2228","[0, 0, 5, 0, 0, 0, 0]","-6.5999985","-2.1192207","5.8309517","6.5999985","2.1192207","1","2017-03-02 00:00:00.000","9","2.1.1","20170302"
"1676536481","PS4","BORDER","PvP � HOSTAGE","6","54","Attacker","Defender","[[Gold, 165], [Gold, 93], [Gold, 128], [Platinum, 137]]","[[Gold, 97], [Platinum, 114], [Gold, 81], [Platinum, 95], [Platinum, 102]]","[[Gold, 93], [Gold, 128], [Gold, 165], [Platinum, 137]]","[[Gold, 81], [Platinum, 95], [Gold, 97], [Platinum, 114], [Platinum, 102]]","0","0","4","0","0","5","5","2","4","130.75","25.713566","[0, 0, 0, 0, 3, 1, 0]","97.8","10.684568","[0, 0, 0, 0, 2, 3, 0]","32.949997","15.028997","2.236068","32.949997","15.028997","0","2017-02-25 00:00:00.000","8","2.1.1","20170225"
"4146258729","XONE","BORDER","PvP � SECURE AREA","5","48","Attacker","Defender","[[Gold, 137], [Gold, 112], [Gold, 99], [Gold, 96], [Gold, 121]]","[[Gold, 151], [Gold, 80], [Gold, 92], [Platinum, 137], [Silver, 38]]","[[Gold, 99], [Gold, 112], [Gold, 137], [Gold, 121], [Gold, 96]]","[[Gold, 151], [Silver, 38], [Gold, 80], [Gold, 92], [Platinum, 137]]","0","0","5","0","0","5","5","1","4","113.0","15.006665","[0, 0, 0, 0, 5, 0, 0]","99.6","40.6871","[0, 0, 0, 1, 3, 1, 0]","13.400002","-25.680435","2.4494898","13.400002","25.680435","0","2017-04-26 00:00:00.000","17","2.1.3","20170426"
"1792504561","PC","CHALET","PvP � HOSTAGE","6","60","Attacker","Defender","[[Platinum, 125], [Gold, 66], [Gold, 90], [Gold, 90], [Gold, 53]]","[[Gold, 118], [Gold, 110], [Gold, 124], [Silver, 18], [Gold, 77]]","[[Gold, 66], [Platinum, 125], [Gold, 90], [Gold, 53], [Gold, 90]]","[[Gold, 77], [Gold, 110], [Silver, 18], [Gold, 124], [Gold, 118]]","0","0","5","0","0","5","5","4","2","84.8","24.636559","[0, 0, 0, 0, 4, 1, 0]","89.4","39.2204","[0, 0, 0, 1, 4, 0, 0]","-4.5999985","-14.583843","1.4142135","4.5999985","14.583843","1","2017-02-27 00:00:00.000","9","2.1.1","20170227"
"3495998889","XONE","HOUSE","PvP � BOMB","6","51","Attacker","Defender","[[Gold, 170], [Gold, 117], [Gold, 162], [Silver, 57]]","[[Gold, 190], [Silver, 97], [Bronze, 38], [Silver, 142], [Silver, 154]]","[[Gold, 117], [Gold, 183], [Gold, 162], [Silver, 57]]","[[Silver, 154], [Bronze, 38], [Silver, 97], [Silver, 142]]","1","0","4","1","-1","5","5","2","4","126.5","44.92494","[0, 0, 0, 1, 3, 0, 0]","124.2","52.35418","[0, 0, 1, 3, 1, 0, 0]","2.300003","-7.429241","3.0","2.300003","7.429241","0","2017-04-30 00:00:00.000","18","2.1.3","20170430"
"3420821129","PS4","PLANE","PvP � SECURE AREA","6","60","Attacker","Defender","[[Gold, 162], [Silver, 88], [Gold, 160], [Diamond, 192], [Platinum, 199]]","[[Silver, 101], [Gold, 177], [Platinum, 200], [Platinum, 179], [Gold, 135]]","[[Silver, 88], [Gold, 160], [Gold, 162], [Diamond, 192], [Platinum, 199]]","[[Platinum, 200], [Gold, 177], [Platinum, 179], [Gold, 135], [Silver, 101]]","0","0","5","0","0","5","5","4","2","160.2","39.32633","[0, 0, 0, 1, 2, 1, 1]","158.4","35.617973","[0, 0, 0, 1, 2, 2, 0]","1.800003","3.708355","1.4142135","1.800003","3.708355","1","2017-04-24 00:00:00.000","17","2.1.3","20170424"
"1585196361","PS4","CHALET","PvP � SECURE AREA","5","45","Attacker","Defender","[[Copper, 90], [Copper, 47], [Copper, 95], [Copper, 65]]","[[Bronze, 109], [Copper, 73], [Bronze, 55], [Copper, 38], [Copper, 163]]","[[Copper, 47], [Copper, 95], [Copper, 90], [Copper, 65]]","[[Copper, 73], [Bronze, 55], [Bronze, 109], [Copper, 163], [Copper, 38]]","0","0","4","0","0","5","5","1","4","74.25","19.40844","[0, 4, 0, 0, 0, 0, 0]","87.6","44.45042","[0, 3, 2, 0, 0, 0, 0]","-13.349998","-25.04198","2.236068","13.349998","25.04198","0","2017-05-07 00:00:00.000","19","2.1.3","20170507"
"1383399101","PS4","BARTLETT U.","PvP � SECURE AREA","8","80","Attacker","Defender","[[Silver, 28], [Bronze, 95], [Unranked, 76], [Unranked, 50], [Silver, 64]]","[[Silver, 125], [Gold, 117], [Gold, 82], [Silver, 71], [Bronze, 93]]","[[Unranked, 76], [Bronze, 95], [Silver, 28], [Silver, 64], [Unranked, 50]]","[[Silver, 71], [Gold, 82], [Bronze, 93], [Gold, 117], [Silver, 125]]","0","0","5","0","0","5","5","3","5","62.6","22.747307","[2, 0, 1, 2, 0, 0, 0]","97.6","20.489998","[0, 0, 1, 2, 2, 0, 0]","-35.0","2.257309","2.828427","35.0","2.257309","0","2017-03-12 00:00:00.000","11","2.1.1","20170312"
"879774581","PS4","COASTLINE","PvP � BOMB","5","50","Attacker","Defender","[[Gold, 51], [Gold, 124], [Gold, 81], [Gold, 121], [Gold, 83]]","[[Gold, 147], [Gold, 79], [Platinum, 126], [Gold, 145], [Gold, 149]]","[[Gold, 121], [Gold, 51], [Gold, 83], [Gold, 81], [Gold, 124]]","[[Gold, 149], [Gold, 147], [Gold, 79], [Platinum, 126], [Gold, 145]]","0","0","5","0","0","5","5","4","1","92.0","27.378824","[0, 0, 0, 0, 5, 0, 0]","129.2","26.415148","[0, 0, 0, 0, 4, 1, 0]","-37.199997","0.96367645","1.4142135","37.199997","0.96367645","1","2017-03-03 00:00:00.000","9","2.1.1","20170303"
"2829322429","PS4","BARTLETT U.","PvP � SECURE AREA","9","86","Attacker","Defender","[[Copper, 70], [Copper, 78], [Gold, 89], [Unranked, 6], [Copper, 61]]","[[Copper, 106], [Copper, 100], [Copper, 81], [Copper, 117], [Platinum, 117]]","[[Copper, 78], [Gold, 89], [Copper, 61], [Copper, 70]]","[[Copper, 100], [Copper, 81], [Platinum, 117], [Copper, 117], [Copper, 106]]","1","-1","5","0","0","5","5","4","5","60.8","28.909513","[1, 3, 0, 0, 1, 0, 0]","104.2","13.317657","[0, 4, 0, 0, 0, 1, 0]","-43.399998","15.591856","2.0","43.399998","15.591856","0","2017-04-23 00:00:00.000","17","2.1.3","20170423"
